,Date,Confirmed_cases,new_confirmed_cases,smoothed_confirmed_cases,smoothed_confirmed_deaths
0,2026-05-14,8,8,12.75,1.0
1,2026-05-17,13,5,12.8,1.2
2,2026-05-18,33,20,13.833333333333334,1.5
3,2026-05-19,51,18,13.0,1.4285714285714286
4,2026-05-20,64,13,13.285714285714286,0.8571428571428571
5,2026-05-21,83,19,13.142857142857142,0.8571428571428571
6,2026-05-22,91,8,10.428571428571429,1.1428571428571428
7,2026-05-23,101,10,10.0,1.8571428571428572
8,2026-05-24,105,4,8.714285714285714,1.5714285714285714
9,2026-05-25,106,1,18.142857142857142,1.1428571428571428
10,2026-05-26,121,15,24.571428571428573,4.571428571428571
11,2026-05-27,125,4,25.857142857142858,4.571428571428571
12,2026-05-28,210,85,30.857142857142858,5.428571428571429
13,2026-05-29,263,53,34.0,6.857142857142857
14,2026-05-30,282,19,34.57142857142857,6.428571428571429
15,2026-05-31,321,39,36.57142857142857,6.714285714285714
16,2026-06-01,344,23,34.57142857142857,9.285714285714286
17,2026-06-02,363,19,32.142857142857146,6.285714285714286
18,2026-06-03,381,18,33.285714285714285,7.0
19,2026-06-04,452,71,32.714285714285715,7.571428571428571
20,2026-06-05,488,36,36.285714285714285,7.857142857142857
21,2026-06-06,515,27,38.857142857142854,9.285714285714286
22,2026-06-07,550,35,42.142857142857146,10.285714285714286
23,2026-06-08,598,48,33.857142857142854,8.142857142857142
24,2026-06-09,635,37,42.0,13.571428571428571
25,2026-06-10,676,41,41.857142857142854,14.428571428571429
26,2026-06-11,689,13,41.0,13.571428571428571
27,2026-06-13,782,93,39.57142857142857,12.428571428571429
28,2026-06-14,808,26,37.285714285714285,15.0
29,2026-06-15,837,29,36.714285714285715,15.571428571428571
30,2026-06-16,875,38,38.142857142857146,15.428571428571429
31,2026-06-17,896,21,29.0,11.0
32,2026-06-18,933,37,29.6,11.0
33,2026-06-19,956,23,29.75,12.75
