,region,count
235,Bunia,236011
236,Gethy,164195
237,Komanda,162677
238,Nyakunde,86216
239,Rwampara,118009
241,Mambasa,84418
243,Nia-Nia,62813
244,Bambu,130933
245,Damas,102748
246,Drodro,136237
247,Fataki,112899
248,Jiba,120630
249,Kilo,49206
251,Lita,112821
252,Mangala,81562
253,Mongbalu,117395
254,Nizi,124683
256,Tchomia,97164
258,Aungba,139233
259,Kambala,108946
260,Logo,211738
263,Rimba,186054
267,Aru,159415
270,Goma,252395
271,Karisimbi,616487
285,Manguredjipa,72629
286,Masereka,178135
287,Musienene,250030
288,Kalunguta,200088
290,Kyondo,215724
291,Mabalako,186641
293,Oicha,337052
294,Vuhovi,121842
295,Beni,383424
296,Butembo,317019
297,Katwa,412436
310,Miti-Murhesa,298340
